# Variable name map,,,,,
# First, this provides a mapping from the outputstream codes to good-looking text,,,,
# Second and more importantly- if a tag in the outputstream changes we don't want,,,,,
# to have to go through all our comparison data and change things. So the comparison,,,,,
# data tags are here too- and provide a seamless mapping from Hector output to,,,,,
# comparison data to nicely-formatted labels.,,,,,
# Note: nothing (fields, tags, etc.) is case-sensitive,,,
#,,,,,
ctag,variable,vtag,prettylabel,old_vtags,Notes
carbon_cycle,atmos_c_residual,atmos_c_residual,Atmospheric~C~residual,,
carbon_cycle,Ca,atmos_CO2,Atmospheric~CO2,,
forcing,Ftot,Ftot,,ftot,
forcing,FCO2,FCO2,,,
forcing,FCH4,FCH4,,,
forcing,FN2O,FN2O,,,
forcing,Fbc,Fbc,,,
forcing,Foc,Foc,,,
forcing,FC2F6+FCCl4+FCF4+FCFC11+FCFC113+FCFC114+FCFC115+FCFC12+FCH3Br+FCH3CCl3+FCH3Cl+FHCF141b+FHCF142b+FHCF22+FHFC125+FHFC134a+FHFC143a+FHFC227ea+FHFC23+FHFC245fa+FHFC32+FHFC4310+FSF6+Fhalon1211+Fhalon1301+Fhalon2402,Fhalos,,,This will sum listed variables and tag the results
ocean,atm_ocean_flux,atm_ocean_flux,,fgco2,
ocean,atm_ocean_flux_HL,atm_ocean_flux_HL,,fgco2_HL,
ocean,atm_ocean_flux_LL,atm_ocean_flux_LL,,fgco2_LL,
ocean,DIC,DIC,,dic,
ocean,DIC_HL,DIC_HL,,"dic_HL, dic_hl",
ocean,DIC_LL,DIC_LL,,"dic_LL, dic_ll",
ocean,OmegaAr,OmegaAr,,,
ocean,OmegaAr_LL,OmegaAr_LL,,,
ocean,OmegaAr_HL,OmegaAr_HL,,,
ocean,OmegaCa,OmegaCa,,,
ocean,OmegaCa_LL,OmegaCa_LL,,,
ocean,OmegaCa_HL,OmegaCa_HL,,,
ocean,pH_HL,pH_HL,,,
ocean,pH_LL,pH_LL,,,
ocean,heatflux,heatflux,,,
ocean,dic,dic_HL,,,
ocean,dic,dic_LL,,,
ocean,PCO2_HL,pco2_hl,,,
ocean,PCO2_LL,pco2_ll,,,
ocean,co3_hl,CO3_HL,,,
ocean,co3_ll,CO3_LL,,,
ocean,temp,Temp,,"temp, TEMP",
ocean,temp_hl,Temp_HL,,"temp_hl, TEMP_HL",
ocean,temp_ll,Temp_LL,,"temp_ll, TEMP_LL",
ocean,ocean_slowdown,slowdown,,,
ocean,Tr_LL,Tr_LL,,,
ocean,Tr_HL,Tr_HL,,,
ocean,Sc_LL,Sc_LL,,,
ocean,Sc_HL,Sc_HL,,,
ocean,K0_LL,K0_LL,,,
ocean,K0_HL,K0_HL,,,
ocean,carbon_DO,carbon_DO,,,
ocean,carbon_HL,carbon_HL,,,
ocean,carbon_LL,carbon_LL,,,
ocean,carbon_IO,carbon_IO,,,
slr,slr,slr,Sea~level~rise,,
slr,slr_no_ice,slr_no_ice,Sea~level~rise~(no~ice),,
Temperature,Tgav,Tgav_HL,,,
Temperature,Tgav,Tgav_LL,,,
Temperature,Tgav,Tgav,,,
Temperature,Tgaveq,Tgaveq,,,
forcing,Fch4,Fch4,,,
forcing,Fn2o,Fn2o,,,
forcing,Fh2o,Fh2o,,,
forcing,Fbc,Fbc,,,
forcing,Foc,Foc,,,
forcing,Fso2i,Fso2i,,,
forcing,Fso2d,Fso2d,,,
forcing,Fco2,Fco2,,,
carbon_cycle,npp,npp,,,
carbon_cycle,atm_land_flux,nbp,,,
carbon_cycle,rh,rh,,,
ozone,O3,O3,,,
