; Historical SO2 record in Gg,
; constructed using : Smith et al. through 1999,
; Klimont et al. from 2000-2011,
; Constant open burning emissions from 2000 - 2011,
Date,SO2_emissions
1992,124770
1993,122657
1994,120543
1995,118311
1996,117804
1997,116703
1998,114790
1999,110752
2000,110425
2001,108731
2002,108097
2003,110944
2004,114584
2005,116005
2006,115887
2007,114739
2008,112351
2009,107799
2010,106726
2011,104701
2012,104697
2013,104693
2014,104689
2015,104685
2016,104681
2017,104677
2018,104673
2019,104669
2020,104665
2021,104661
2022,104657
2023,104653
2024,104649
2025,104645
2026,104641
2027,104637
2028,104633
2029,104629
2030,104625
2031,104621
2032,104617
2033,104613
2034,104609
2035,104605
2036,104601
2037,104597
2038,104593
2039,104589
2040,104585
2041,104581
2042,104577
2043,104573
2044,104569
2045,104565
2046,104561
2047,104557
2048,104553
2049,104549
2050,104545
2051,104541
2052,104537
2053,104533
2054,104529
2055,104525
2056,104521
2057,104517
2058,104513
2059,104509
2060,104505
2061,104501
2062,104497
2063,104493
2064,104489
2065,104485
2066,104481
2067,104477
2068,104473
2069,104469
2070,104465
2071,104461
2072,104457
2073,104453
2074,104449
2075,104445
2076,104441
2077,104437
2078,104433
2079,104429
2080,104425
2081,104421
2082,104417
2083,104413
2084,104409
2085,104405
2086,104401
2087,104397
2088,104393
2089,104389
2090,104385
2091,104381
2092,104377
2093,104373
2094,104369
2095,104365
2096,104361
2097,104357
2098,104353
2099,104349
2100,104345
