"vtag","error_max","error_min","value","year","type","units","source","ctag"
"FCO2",1.83,1.49,1.66,2005,"Observed","W/m2","IPCC","forcing"
"FCH4",0.53,0.43,0.48,2005,"Observed","W/m2","IPCC","forcing"
"FN2O",0.18,0.14,0.16,2005,"Observed","W/m2","IPCC","forcing"
"Fhalos",0.37,0.31,0.34,2005,"Observed","W/m2","IPCC","forcing"
"FO3s",0.05,-0.15,-0.05,2005,"Observed","W/m2","IPCC","forcing"
"FO3t",0.65,0.25,0.35,2005,"Observed","W/m2","IPCC","forcing"
"FwvCH4",0.12,0.02,0.07,2005,"Observed","W/m2","IPCC","forcing"
"Falbedo_lu",0,-0.4,-0.2,2005,"Observed","W/m2","IPCC","forcing"
"Falbedo_bc",0.2,0,0.1,2005,"Observed","W/m2","IPCC","forcing"
"Faerosol_direct",-0.1,-0.9,-0.5,2005,"Observed","W/m2","IPCC","forcing"
"Faerosol_cloud",-0.3,-1.8,-0.8,2005,"Observed","W/m2","IPCC","forcing"
"Fcontrail",0.03,0.003,0.01,2005,"Observed","W/m2","IPCC","forcing"
"Fsolar",0.3,0.06,0.12,2005,"Observed","W/m2","IPCC","forcing"
"Ftot",2.4,0.6,1.6,2005,"Observed","W/m2","IPCC","forcing"
